"Longitude(x)"	"Latitude(y)"	"Clytolaema_rubricauda"	"Heliodoxa_aurescens"	"Heliodoxa_branickii"	"Heliodoxa_gularis"	"Heliodoxa_imperatrix"	"Heliodoxa_jacula"	"Heliodoxa_leadbeateri"	"Heliodoxa_rubinoides"	"Heliodoxa_schreibersii"	"Heliodoxa_xanthogonys"	"Hylonympha_macrocerca"	"Sternoclyta_cyanopectus"
"1"	-70.05	11.15	0	0	0	0	0	0	1	0	0	0	0	0
"2"	-69.95	11.15	0	0	0	0	0	0	1	0	0	0	0	0
"3"	-69.85	11.15	0	0	0	0	0	0	1	0	0	0	0	0
"4"	-69.75	11.15	0	0	0	0	0	0	1	0	0	0	0	0
"5"	-69.65	11.15	0	0	0	0	0	0	1	0	0	0	0	0
"6"	-69.55	11.15	0	0	0	0	0	0	1	0	0	0	0	0
"7"	-69.45	11.15	0	0	0	0	0	0	1	0	0	0	0	0
"8"	-70.25	11.05	0	0	0	0	0	0	1	0	0	0	0	0
"9"	-70.15	11.05	0	0	0	0	0	0	1	0	0	0	0	0
"10"	-70.05	11.05	0	0	0	0	0	0	1	0	0	0	0	0
"11"	-69.95	11.05	0	0	0	0	0	0	1	0	0	0	0	0
"12"	-69.85	11.05	0	0	0	0	0	0	1	0	0	0	0	0
"13"	-69.75	11.05	0	0	0	0	0	0	1	0	0	0	0	0
"14"	-69.65	11.05	0	0	0	0	0	0	1	0	0	0	0	0
"15"	-69.55	11.05	0	0	0	0	0	0	1	0	0	0	0	0
"16"	-69.45	11.05	0	0	0	0	0	0	1	0	0	0	0	0
"17"	-69.35	11.05	0	0	0	0	0	0	1	0	0	0	0	0
"18"	-69.25	11.05	0	0	0	0	0	0	1	0	0	0	0	0
"19"	-69.15	11.05	0	0	0	0	0	0	1	0	0	0	0	0
"20"	-85.45	10.95	0	0	0	0	0	1	0	0	0	0	0	0
"21"	-70.45	10.95	0	0	0	0	0	0	1	0	0	0	0	0
"22"	-70.35	10.95	0	0	0	0	0	0	1	0	0	0	0	0
"23"	-70.25	10.95	0	0	0	0	0	0	1	0	0	0	0	0
"24"	-70.15	10.95	0	0	0	0	0	0	1	0	0	0	0	0
"25"	-70.05	10.95	0	0	0	0	0	0	1	0	0	0	0	0
"26"	-69.95	10.95	0	0	0	0	0	0	1	0	0	0	0	0
"27"	-69.85	10.95	0	0	0	0	0	0	1	0	0	0	0	0
"28"	-69.75	10.95	0	0	0	0	0	0	1	0	0	0	0	0
"29"	-69.65	10.95	0	0	0	0	0	0	1	0	0	0	0	0
"30"	-69.55	10.95	0	0	0	0	0	0	1	0	0	0	0	0
"31"	-69.45	10.95	0	0	0	0	0	0	1	0	0	0	0	0
"32"	-69.35	10.95	0	0	0	0	0	0	1	0	0	0	0	0
"33"	-69.25	10.95	0	0	0	0	0	0	1	0	0	0	0	0
"34"	-69.15	10.95	0	0	0	0	0	0	1	0	0	0	0	0
"35"	-69.05	10.95	0	0	0	0	0	0	1	0	0	0	0	0
"36"	-68.95	10.95	0	0	0	0	0	0	1	0	0	0	0	0
"37"	-85.35	10.85	0	0	0	0	0	1	0	0	0	0	0	0
"38"	-72.55	10.85	0	0	0	0	0	0	1	0	0	0	0	0
"39"	-70.55	10.85	0	0	0	0	0	0	1	0	0	0	0	0
"40"	-70.45	10.85	0	0	0	0	0	0	1	0	0	0	0	0
"41"	-70.35	10.85	0	0	0	0	0	0	1	0	0	0	0	0
"42"	-70.25	10.85	0	0	0	0	0	0	1	0	0	0	0	0
"43"	-70.15	10.85	0	0	0	0	0	0	1	0	0	0	0	0
"44"	-70.05	10.85	0	0	0	0	0	0	1	0	0	0	0	0
"45"	-69.95	10.85	0	0	0	0	0	0	1	0	0	0	0	0
